ship-city,Amount
tirupathi,5953.0
SUNDARNAGAR,5931.0
SULLURU,5927.0
NOWGONG,5923.0
PURANATTUKARA,5921.0
BARDHAMAN,5918.95
Moradabad,5916.860000000001
SAWANTWADI,5906.14
GURZALA,5900.95
PALLICHAL,5893.0
PATAUDI,5868.0
Tripunithura,5852.85
IROOPARA,5851.0
KARAMADAI,5847.43
Durgapur,5832.62
SIOLIM,5819.67
KADODARA,5817.66
CHINTAMANI,5813.14
Imphal east,5805.0
MAHOBA,5803.71
BERMO,5800.0
GOA VELHA,5799.0
Singrauli,5798.0
NANDURBAR,5795.0
BINA,5787.0
BATALA,5778.0
SIDLAGHATTA,5769.0
dehradun,5766.0
LEH ladakh,5762.0
SURI,5754.0
GOHANA,5737.0
GODDA,5728.0
FERRARGUNJ,5714.0
BAGESHWAR,5708.1
CHITTAURGARH,5706.0
BELGAUM,5694.0
PARDI,5688.0
SAMBHAL,5678.0
NARNAUL,5677.0
Adilabad,5670.0
JUGAULI,5667.0
MANDAPETA,5666.0
BARDOLI,5658.0
KADIRUR,5653.0
BALLARPUR,5639.46
BADDI,5636.1900000000005
BEYPORE,5626.0
Tezpur,5624.0
Thiruvalla,5618.0
Jajpur,5616.0
VARCA,5593.1
CHINCHANI,5587.0
PUTHENCRUZ,5573.14
HANUMANGARH,5570.48
FARIDKOT,5564.0
BELLARY,5563.0
SIDHI,5530.0
MATHIGIRI,5528.0
FIROZABAD,5518.0
NUVEM,5510.48
CHENGAMANAD,5507.0
AYYAMPETTAI THANJAVUR DISTRICT,5496.38
BHATKAL,5479.0
SAHIBGANJ,5476.38
Gwalior,5471.9
ROHA ASHTAMI,5466.0
PINARAYI,5453.0
TANAKPUR,5453.0
VASAI WEST,5439.0
MURAKAMBATTU,5438.73
SUNABEDA,5430.0
GOBICHETTIPALAYAM,5420.0
RAJGIR,5413.0
KHAILAR,5413.0
BUTIBORI,5406.33
Puducherry,5403.0
KHAJURAHO,5402.0
SILWANI,5395.0
BYASANAGAR,5393.0
KODAIKANAL,5387.1900000000005
SANGLI,5380.0
KAVERIPATTINAM,5379.0
Pulivendula,5377.0
Kangra,5365.0
BAMBOLIM,5364.0
Palampur,5357.58
PUNALUR,5349.58
BALODA BAZAR,5348.0
BIHTA PATNA DISTRICT,5329.0
AHMEDNAGAR,5328.52
RAI INDUSTRIAL AREA,5311.0
Mapusa,5309.48
JHUMRI TILAIYA,5309.0
Loni,5308.0
THAZHUTHALA,5304.0
HAVERI,5297.0
BEGOWAL,5293.0
KURUMPILAVU,5289.0
ATTUR,5283.0
Trichur,5276.76
Shahdara,5263.0
patna,5261.0
CHUMUKEDIMA,5259.0
kalyan,5257.0
BHOTA,5256.05
TEZU,5252.43
DUMRAON,5244.0
BHATPARA,5243.0
MADHYAMGRAM,5234.62
CHAKAN,5229.86
USILAMPATTI,5229.0
KOSAMBA,5224.0
Balrampur,5218.0
ALIBAG,5212.67
ATTAYAMPATTI,5211.67
Chengalpattu,5200.0
HAORA,5187.24
KAPADVANJ,5183.0
KALLIASSERI,5174.0
ALDONA,5164.0
HANUMAN JUNCTION,5160.0
Madhyamgram,5152.0
RAU,5149.0
KRISHNANAGAR,5147.38
KUDAL,5147.0
RANIGANJ,5144.0
NAIHATI,5144.0
KALOL GANDHINAGAR DISTRICT,5143.14
Raigarh,5125.0
GUNDLUPET,5124.0
EDDUMAILARAM,5121.0
Dombivali East,5117.0
DHUBRI,5117.0
KUPPAM,5115.0
JAJAPUR,5111.0
Kanekal,5106.0
MURADNAGAR,5101.0
Purnea,5100.0599999999995
DABHOI,5092.0
SILVASSA,5089.0
"Colachal, Kanya Kumari District",5088.0
MUMBAi,5087.0
RAIGANJ,5086.0
NIPANI,5081.0
Ankleshwar,5073.0
Hanamkonda,5065.0
PALIA KALAN,5064.0
NANDED,5063.67
Nallasopara west,5056.0
HANSI,5054.0
BHAVANI,5053.0
Idukki,5053.0
Jamnagar,5044.0
SHIRUR,5042.0
GOPESHWAR,5038.0
KOLAZHY,5034.0
BODINAYAKANUR,5030.0
BHADRESWAR,5025.24
Rampur,5023.86
BHOWALI,5014.0
Addanki,5010.0
MUDIGERE,5007.0
Auraiya,5003.67
SHORANUR,4999.1
Dharwad,4999.0
ELAMPALLOOR,4993.0
"Koyilandy, kozhikode",4992.0
KODUNGALLUR,4991.0
PALUVAI,4991.0
CHODAVARAM,4980.72
Alwar,4978.0
AMRELI,4977.86
Hamirpur,4974.0
BHATAPARA,4968.0
ARERAJ,4963.0
KAMPTEE,4956.14
TAKHATPUR,4954.0
DHAULPUR,4951.0
NAGDA,4950.67
SADASIVPET,4950.14
VIDISHA,4950.0
patiala,4948.0
BHADOHI,4946.0
IGATPURI,4944.360000000001
thrissur,4938.1
TUMAKURU. Phone Number 9686000855,4937.0
NIMBAHERA,4925.0
JANGAON,4907.8099999999995
KADUR,4904.0
VENGURLA,4897.0
SIRKALI,4883.21
Akola,4878.0
CHIKHAL KASA,4874.0
JAMKHANDI,4873.67
KANJIKODE INDUSTRIAL AREA,4869.0
THURAIYUR,4866.0
GUMLA,4862.0
surat,4858.0
Cooch Behar,4858.0
KOZHENCHERY,4857.0
HABRA,4857.0
BISWANATH CHARIALI,4857.0
KHORDHA,4841.0
KARAULI,4838.0
CHIKHLI,4834.0
Solapur,4834.0
MANNARKAD,4832.0
KAMBAM,4830.0
PULGAON,4826.0
TALA,4819.0
ANJUNA,4818.43
AMLA,4809.0
POTTORE,4808.0
PARAMAKUDI,4795.0
KORATTY,4792.0
SONAPUR GAON,4791.0
AMETHI,4781.0
tonk,4780.0
ISLAMPUR,4771.14
TEHRI,4769.0
KESINGA,4764.0
Medchal,4760.0
Soreng,4757.84
CHIRAKKAL,4750.0
IRINJALAKUDA,4743.86
Madhurawada,4743.0
ATMAKUR SRI POTTI SRIRAMULU,4739.0
DAHI,4738.18
CHAKDAHA,4736.0
DIAMOND HARBOUR,4733.0
CHETHIPUZHA,4726.0
PHULABANI,4719.0
Kishangarh,4719.0
Karimnagar,4717.0
Ajmer,4709.0
Malda,4703.0
mughal sarai,4694.0
Tenali,4692.95
ALOK CITY,4688.9
KANAKAPURA,4688.86
SARCARSAMAKULAM,4674.0
Kinnigoli,4673.67
MUMBAI - 400062,4673.62
ATMAKUR,4670.0
MUNNAR,4664.0
SATTUR,4659.0
BAISINGA,4652.0
HUNSUR,4643.48
SONAPUR,4640.0
SUJANPUR,4637.48
MADHEPURA,4633.0
VANIYAMKULAM II,4631.0
WASHIM,4614.0
SASARAM,4611.95
CHANDAULI,4611.0
Sangli,4610.0
Alappuzha,4606.0
NABAGRAM COLONY,4600.0
Haridwar,4600.0
KURSEONG,4597.0
DAPOLI,4596.0
PILLAIARKUPPAM,4592.0
Bikaner,4590.43
Nasik,4589.0
Tirunelveli,4584.0
MAHRAJGANJ MAHRAJGANJ DISTRICT,4583.0
Serampore,4581.0
SHAHBAD,4568.0
VARANGAON,4564.0
NIRMAL,4559.43
Angul,4557.0
MUSIRI,4550.62
KAMRUP,4549.0
NEW BARRACKPUR,4542.0
Rangareddy,4536.0
SIVAGANGA,4534.95
Bilaspur,4533.0
KADIRI,4533.0
noida,4525.0
BID,4520.0
Satna,4511.0
Tinsukia,4503.0
chandigarh,4499.0
shimla,4497.67
JAMUI,4497.0
NANJANGUD,4489.0
KANNAMANGALAM ALAPPUZHA DISTRICT,4476.0
MAJHIHARA,4472.0
Dombivli west,4467.0
Ballia,4464.0
BAIL HONGAL,4456.0
ATTINGAL,4452.0
VADAKKUVALLIYUR,4450.0
JAYGAON,4446.0
BADLAPUR West,4444.0
Badepalle,4435.0
Mau,4435.0
SONBHADRA,4434.0
GAURIBIDANUR,4425.0
PADRAUNA,4422.0
METTUPALAYAM COIMBATORE DISTRICT,4417.83
PIPILI,4417.0
UTTAR LATABARI,4410.0
Karungal,4408.0
BANTWAL,4400.05
JHUNJHUNUN,4399.0
Tumkur,4399.0
gorakhpur,4398.0
TUNDLA KHAM,4391.0
SAMBRA,4382.0
"TENALI, Guntur district",4380.0
RAZOLE,4372.05
MANALMEDU,4369.0
LAKHISARAI,4362.8099999999995
MULKI,4362.0
HINDAUN,4356.0
Burdwan,4353.0
KONDAPI,4351.0
KOIPADY,4342.0
NATHDWARA,4340.0
Kompally,4337.0
JAMALPUR,4335.8099999999995
HINDUPUR,4334.1
rajkot,4330.0
Katra,4328.0
NASVADI chhotaudepur,4326.0
RAJGARH RAJGARH DISTRICT,4322.0
NAWANSHAHR,4321.0
"Ranipet, VELLORE DT",4320.42
HOSDURGA,4320.0
Kurnool,4318.0
KONNAGAR,4318.0
"Chalakudy , Thrissur",4314.0
KHATAULI,4307.0
Bardez,4306.0
ADICHANALLOOR,4301.0
PHUSRO,4299.0
MADHAPAR,4294.0
URAN ISLAMPUR,4292.0
RAGHOGARH,4292.0
PALACODERU,4267.92
BARDEZ,4266.0
PEHOWA,4254.0
BANGARAPET,4248.0
SIVAKASI,4246.0
warangal,4245.12
BODHAN,4241.0
HAILAKANDI,4240.0
ODDANCHATRAM,4238.0
DEVARAPALLI,4231.0
KOIL PALAYAM,4227.0
Liluah,4224.0
KATTAPPANA,4220.48
Junagadh,4219.0
GOALPARA,4217.29
Muzaffarpur,4217.0
VARAM,4216.0
Raebareli,4213.57
Buxar,4212.0
MAHUVA,4211.0
CHERTHALACherthala,4204.62
CHUNAR,4204.0
ZAHIRABAD,4201.33
Theni,4201.0
Leh,4189.38
UDAIPURudipur,4183.0
ROHINI,4182.0
Perumbavoor,4178.29
SIPCOT THOOTHUKUDI,4176.0
Guna,4173.0
KALADHUNGI Haldwani,4167.04
BHANDER,4166.24
HOOGHLY,4159.0
CHOUTUPPAL,4158.0
RASRA,4156.0
KHAIRA BARi,4155.0
KURATTISSERY,4151.0
Narnaul,4147.67
AVANIGADDA,4145.0
PRATHIPADU,4144.0
VASAI west,4141.0
PARVATHIPURAM,4140.0
Kalyan West,4139.0
ARA,4136.0
THIRUVALAM,4135.0
vijayawada,4133.0
VENKETRAIPUR,4130.0
FARAKKA BARRAGE TOWNSHIP,4128.0
UTTAR KUSUM,4128.0
DASUYA,4126.0
amritsar,4126.0
ERUMAIPATTI,4124.76
BADLAPUR east,4120.0
ALLUR,4112.0
UPPALA,4107.0
CHINCHINIM,4096.0
Hazaribagh,4095.0
KOTTUVALLY,4089.0
CHOCKLI,4086.0
ANANTNAG,4079.0
OBRA,4076.0
SIRSHA,4075.0
Karwar,4073.48
THANE WEST,4073.0
BHIMADOLE,4073.0
HONAVAR,4073.0
TARANTARAN,4070.0
THIRUMANGALAM,4047.14
GADCHIROLI,4045.0
CHENDAMANGALAM,4034.0
Sonipat,4031.0
ERANHOLI,4028.0
mangalore,4027.0
VALPOI,4019.0
BAPATLA,4015.0
Etawah,4015.0
AMETHI SULTANPUR DISTRICT,4014.0
PATHANAPURAM,4013.0
CHAMRAIL,4011.3900000000003
ARUPPUKKOTTAI,4007.0
RAISEN,4005.0
PUNJAIPULIAMPATTI,4005.0
JEYPUR,4003.0
WARANGAL URBAN,3988.57
NAGARI,3985.1
HALIYAL,3985.0
VIRUDHACHALAM,3983.0
TALIKKULAM,3982.0
TIRUVETHIPURAM,3980.0
Surendranagar,3979.96
QUILANDY,3978.0
Vazhakkala,3978.0
Elamakkara,3973.0
Murwara Katni,3972.0
Koraput,3960.0
"Vikas Puri, F block",3957.0
VENGATHUR,3956.0
KODINAR,3950.8
ULLIYERI,3950.0
SINDHNUR,3946.0
KATOL,3944.0
Velim,3944.0
BHARTHANA,3943.14
Bhimavaram,3941.0
ALIPORE KOLKATA,3940.0
DOWLESWARAM,3936.0
"Kanchikacherla, krishna district",3932.0
RAJAMPET,3930.0
"Kanuvai, coimbatore",3930.0
BIKRAMGANJ,3929.24
NAMSAI,3928.0
BHANJANAGAR,3927.0
CHELAKKARA,3924.0
BARBIL,3924.0
SASVAD,3921.0
Valanchery,3914.1
PATTAMUNDAI,3913.0
LUNAWADA,3912.84
GUNUPUR,3910.0
KASGANJ,3906.62
VUYYURU,3903.6400000000003
MURSHIDABAD,3901.0
Jalgaon,3901.0
PAVARATTY,3888.95
CALAPOR,3883.0
CHAKRADHARPUR,3883.0
Perinthalmanna,3880.0
ARANI THIRUVALLUR DISTRICT,3879.0
RAIA,3875.38
PERINAD,3875.0
Kanchipuram,3873.0
GAJRAULA,3872.0
PARLAKHEMUNDI,3866.0
BAZPUR,3865.0
BARAGAON,3858.0
MIHIJAM,3849.14
Roorkee,3846.0
PALLIPPURAM THIRUVANANTHAPURAM DISTRICT,3845.0
davangere,3844.0
WALAJAPET,3840.24
SEDAM,3838.0
PARCHUR,3837.24
Dimapur,3832.0
GUMMIDIPOONDI,3831.0
NOHAR,3822.0
Lonavala,3820.0
VILAYAT GIDC,3818.14
KATTANAM,3813.0
TALODA,3812.48
NARSAMPET,3812.0
HINDALCO INDUSTRIES LTD,3810.0
SANASWADI,3806.95
MANDIDEEP,3803.52
JUTOGH,3798.0
VEERAPANDIANPATTINAM,3797.0
Kamareddy,3782.0
KHED,3782.0
AIMANAM,3779.0
ARIYALLUR,3767.0
Kudukkimotta,3766.0
Bhadrak,3764.0
KALAMESHWAR,3763.0
Mancherial,3762.14
PINJORE,3755.76
HUGLI CHINSURAH,3754.0
KOLACHAL,3752.0
BELTANGADI,3751.05
CANDOLIM,3749.0
JAGGAMPETA,3745.0
PERAKAM,3745.0
Dist Thane,3742.0
GANGANAGAR,3738.0
KATTUR,3738.0
KAWARDHA,3736.24
Perumachery,3735.0
Greater NOIDA,3733.0
KOTTARAKKARA,3733.0
KATRA,3732.43
Dist - DIBRUGARH,3730.8599999999997
PARADIP,3729.95
CHAKSU,3729.0
MANUGUR,3722.8900000000003
GORANTLA,3719.0
VENGOLA,3719.0
MARIGAON,3717.0
GADARWARA,3712.0
Bahadurgarh,3711.0
Srikalahasti,3709.0
SANGUEM,3708.0
THIKKODY,3704.0
VIRALIMALAI,3703.0
MUMBAI 400101,3700.0
Kokrajhar,3696.0
DAUSA,3695.0
PONNUR,3692.0
Ramgarh,3690.0
THIRUTHURAIPOONDI,3686.5699999999997
Kodakara,3684.0
DATIA,3683.0
BADNAGAR Jill Ujjain,3682.0
Gaya,3678.0
FATEHPUR,3677.0
PATHANKOT,3669.67
Rajarhat,3669.0
SHIRDI,3667.0
pathankot,3661.0
HIRIYUR,3659.0
MUKERIAN,3658.0
PONDICHERRY,3649.0
Dhenkanal,3647.0
JAMTARA,3646.0
"NUVEM.   ( Do not Ring the door bell, call b4 comg",3645.0
NEW Delhi,3644.0
KANDI,3641.0
YELLANDU,3640.0
KHARIAR,3637.0
MANDI GOVINDGARH,3635.43
PUDUPATTINAM,3630.0
KUNDLI INDUSTRIAL AREA,3627.0
BARSHI,3627.0
ARANI TIRUVANNAMALAI DISTRICT,3625.95
MUSAFIRKHANA,3625.0
CHINNAMPALAYAM,3618.15
ANDIPATTI JAKKAMPATTI,3614.0
Panaji,3614.0
MUDDEBIHAL,3611.25
CHOWWARA,3609.0
BARMER,3607.0
SONEPUR,3604.0
BANKA,3604.0
RAMANAGARA,3603.0
MURUD,3594.0
CHANDPUR,3593.0
NANGAL,3592.0
VADANAPPALLY,3590.0
Chickballapur,3585.57
thane,3582.0
CHEMANCHERI,3581.95
MARAKKANAM,3581.0
DHOLKA,3575.0
KOTA Mandal,3570.0
BAGRU,3570.0
Hubli,3565.0
"Plot no.7,Sector 47,Gurgaon",3564.0
ERODE DISTRICT,3563.3900000000003
RAMNAGAR,3560.0
Dehra H.O,3558.0
PHILLAUR,3557.0
IMPHAL WEST,3553.0
SELAQUI,3547.0
SHAHPUR,3547.0
TISWADI,3543.0
AONLA,3542.1
PERUVALLUR,3539.57
KHATIMA,3539.0
Cumbum,3536.89
SULUR,3536.0
NEEMUCH,3533.0
ADILABAD,3530.0
TALASARI,3528.0
ASIKA,3528.0
HATA,3522.86
EDAPPAL,3522.0
Gautam Buddha Nagar,3520.0
BHACHAU,3520.0
Narayangaon,3519.0
MANTESWAR,3514.0
"VASAI,Palghar",3513.0
DHONE,3510.0
SHAHADA,3506.29
Ahemdabad,3494.0
Sector 22 B,3490.62
MELUR,3489.0
Itanagar,3487.0
JHARIA KHAS,3481.5699999999997
Portblair,3477.95
MORANHAT,3475.95
PHALTAN,3473.86
Cherpu,3468.0
DAUND,3467.9900000000002
ALIGANJ,3467.0
TANGUTUR,3464.0
OLD GOA,3460.0
Ghazipur,3458.36
PAKYONG,3450.0
PANCHLA,3449.0
Ambarnath,3447.0
SAO JOSE DE AREAL,3445.0
SRINIVASPUR,3442.57
KHANAPUR,3435.0
PALASA KASIBUGGA,3431.0
Etah,3428.0
Pratapgarh,3424.86
YSR DISTRICT,3424.0
Holehonnur,3417.0
Anpara,3413.0
VAIJAPUR,3406.0
Bangalore Urban,3404.0
VAIKOM,3403.0
NEBADHAI DUTTAPUKUR,3403.0
KANNIYAKUMARI DISTRICT,3401.0
Namakkal,3401.0
MADDUR,3400.0
LACHHMANGARH,3398.0
DHAMNOD DHAR DISTRICT,3397.0
PADAPPAI,3396.0
SIRUGUPPA,3391.0
NADATHARA,3389.0
VENGARA,3387.0
VASAI West,3385.0
Tadepalli,3380.0
KARIMPUR,3377.0
KALLIYOOR,3376.0
BHUPALPALLE,3374.0
NARSIPATNAM,3367.0
BALOTRA,3364.0
AKHNOOR,3363.19
UDUMBANCHOLA,3363.0
Shyamnagar,3358.0
PRITHVIPUR,3356.0
karwar,3354.0
Panjim,3350.0
KANKAVLI,3344.33
NTPC SIMHADRI TOWNSHIP,3344.0
CHENNAI 600042,3343.0
THENI,3342.0
KAYALPATTINAM,3341.0
ICHCHAPURAM,3339.0
Deoria,3335.0
VISHRAMPUR,3334.0
Pattambi,3334.0
Korba,3334.0
FALAKATA,3327.14
KANKIPADU,3323.0
Madhurai uthangudi,3322.0
YENAGUDDE,3322.0
PERAMBALUR,3321.0
"Iritty,KANNUR",3320.0
TRICHY,3316.76
ULHASNAGAR,3315.0
JHABUA,3313.0
MANGAN,3311.29
CHENNUR,3311.0
Podakkudi,3309.0
KOTTAMKARA,3308.0
Bijnor,3307.0
NATTAKAM,3305.0
CHIMUR,3305.0
MEHMEDABAD,3302.0
SALUR,3296.0
Visakhapatanam,3290.0
Vishakapatnam,3288.0
Kishanganj,3285.0
NARAYANPET,3282.0
TANDA AMBEDKAR NAGAR DISTRICT,3281.0
JAMMALAMADUGU,3278.0
FAZILKA,3274.0
Morbi,3271.0
Bhayander (Easy),3270.0
SOHAWAL,3270.0
Vasind,3267.0
TADIPATRI,3265.0
BILHA,3261.0
Miramar,3255.0
Hissar,3255.0
VINUKONDA,3250.0
MUNDERA BAZAR,3249.0
PUTTAPARTHI,3244.0
SATHYAMANGALAM,3242.0
PIPARIYA,3240.0
NEEM KA THANA,3235.19
haldwani,3234.0
PANTHEERAMKAVU,3232.0
Badvel,3232.0
"SIRKALI, NAGAPATTINUM (DISTRICT)",3231.95
"Vrindavan, mathura",3228.5699999999997
ADBHAR,3228.02
margao,3228.0
BANSBERIA,3228.0
Tirupattur,3225.0
MULAGUMUDU,3222.72
AURAIYA,3219.0
CHIKODI,3219.0
Bangalore Rural,3219.0
GUDALUR COIMBATORE DISTRICT,3218.0
YELAMANCHILI,3217.0
Thiruvallur,3215.5699999999997
BISHUNIPUR,3215.0
KANGAYAMPALAYAM,3213.0
Banswara,3211.0
SHEIKHPURA,3208.38
Thiruchengode,3205.0
HARDWAR,3204.0
NAUGARH,3201.0
Mainpuri,3200.0
Qadian,3198.0
JATARI,3196.0
SINDKHED RAJA,3184.0
DORAHA,3179.0
MUDHOL,3179.0
katihar,3177.08
Tirupathi,3174.0
RANAGHAT,3172.86
GHATSHILA,3171.0
Sahibabad,3168.38
INKOLLU,3168.0
BHATPAR RANI,3168.0
BADVEL,3167.0
ALUR,3166.7200000000003
Wayanad,3165.71
KURUVATTUR,3161.0
NORTH BARRACKPUR,3160.0
DANKUNI,3157.0
AAMBY VALLEY,3156.0
ANNUR,3156.0
"LILUAH,HOWRAH",3152.0
Bantwal,3151.57
Srikakulam,3150.76
HARINGHATA FARM,3145.0
RANBIRSINGHPORA,3145.0
PERIYAKULAM,3144.0
CHAMPAWAT,3143.0
BARWANI,3140.0
ASHTA,3138.0
Belur,3138.0
CHAKIA,3137.86
Itarsi,3130.0
"Mulund ( west), Mumbai, Pin 400080",3126.93
IMPHAL EAST,3123.0
Veraval,3123.0
THANE dist,3123.0
PANACHIKKAD,3121.0
KOLAGHAT,3113.74
BASIRHAT,3111.0
DINDORI,3107.0
Keshorai patan district bundi,3107.0
UMBERGAON,3106.0
AGAR,3103.0
MEJIA THERMAL POWER TOWNSHIP,3102.0
BELAGAVI Shedbal,3102.0
Ujjain,3101.14
TASGAON,3100.0
Eranakulam,3100.0
ALLAHABAD Prayagraj,3099.0
BENGALURUBangalore,3098.0
AYODHYA,3093.0
ATHIRAMPUZHA,3092.19
JALLARAM,3088.0
CHHATRAPUR,3084.0
Sirsi,3084.0
VIRAJPET,3081.0
PANDHARKAODA,3080.0
shahdara,3079.0
YELESWARAM,3076.0
Aluva Ernakulam,3075.29
TIRUCHENGODE,3074.0
MIRZAPUR,3071.0
jodhpur,3071.0
MANGALYA,3067.0
BAHERI,3067.0
MALAPPURAM P O,3065.0
KIZHAKKUMMURI,3063.0
NAMAGIRIPETTAI,3062.43
DEOLI,3050.0
Thane - west,3043.0
"KANIYAPURAM, THIRUVANANTHAPURAM DISTRICT",3042.0
Oragadam Industrial Area,3040.29
Kichha,3040.0
PODALAKUR,3037.0
SHOPIAN,3033.0
Jagdalpur,3030.0
TIRORA,3026.0
Central Delhi,3024.0
raipur,3022.48
Gannavaram,3017.9
SALAKATI,3016.0
OCL INDUSTRIAL TOWNSHIP,3015.0
Halisahar,3014.43
GAVARAVARAM,3013.0
BHATKULI,3012.0
AZHIKODE,3011.29
NALAGARH,3011.0
PANAGAR,3007.0
GREATER NOIDA West,3006.0
BINDKI,3006.0
ANGUL,3005.3900000000003
ANCHARAKANDY,3005.0
DANTEWADA,3003.0
Thripunithura,3002.0
Madhepura,2995.0
SIDHPUR,2992.0
SUNAM,2991.0
"Amruthahalli, Jakkur Post",2990.0
UDUMALAIPETTAI,2989.67
KANDUKUR,2988.67
Hoskote,2988.0
kanpur,2983.0
VANJIPALAYAM,2983.0
JAHANGIRABAD,2979.8900000000003
UNGUTURU,2976.0
SHEOPUR,2975.0
Konnagar,2972.0
CHANCHAL,2967.0
GOLABANDHA,2966.0
Jajpur road,2965.0
AUT,2962.43
SAYAN,2959.2799999999997
"Tangi, Cuttack",2955.0
Budgam,2955.0
Dungarpur,2954.62
"PERINTHALMANNA, Malappuram Dt",2954.0
BOBBILI,2954.0
CHALTHAN,2953.0
Mahbubnagar,2952.0
SINDRI,2950.14
Mangaluru,2950.0
VIRAR,2945.0
Dindigul,2943.0
PERUMBAIKAD - KOTTAYAM,2935.0
SANAND,2935.0
HOLE NARSIPUR,2931.0
Alipurduat,2930.2
BASAVANA BAGEVADI,2930.0
KANIYARKODE,2926.0
PATTUKKOTTAI,2925.0
Tivim,2923.0
Sakoli,2923.0
NADAUN,2919.38
Mormugao,2919.0
ASARIPALLAM,2918.0
BARNALA,2918.0
EGRA,2914.0
Virar,2914.0
BATHALAPALLE,2911.0
BELDANGA,2907.0
Mettur,2905.0
CHERUTHURUTHI,2904.0
"Kuthuparamba, Kannur",2902.5699999999997
Tirur,2902.0
RAMPACHODAVARAM,2901.0
JAGRAON,2900.0
Mangalagiri,2898.0
PUDUVAYAL,2897.0
vellore,2895.0
DOBASPET INDUSTRIAL AREA,2894.0
BARAN,2884.0
Thane:421302,2884.0
GAJWEL,2884.0
HINGANGHAT,2882.0
ATCHUTAPURAM APSEZ,2882.0
NADIA,2881.33
Muvattupuzha,2881.0
Dombivli ( west),2878.0
Baroda,2876.0
HARIHAR,2874.0
pathippalam,2870.0
BUTIBORI MIDC,2870.0
Motihari,2869.0
Belthara Road,2864.0
PARATWADA,2864.0
Noida extension,2864.0
Hisar,2862.0
Ichapore,2862.0
IB THEMAL POWER PLANT BANHARPALI TOWNSHIP,2860.0
"walkeshwar,mumbai",2860.0
Ahemedabad,2859.0
KUMILY,2855.0
Parbhani,2852.0
PATHALGAON,2851.0
"Malpur road, modasa",2851.0
Faizabad,2849.0
Virar east,2847.0
tirupur,2846.0
PIMPRI CHINCHWAD Pune,2840.0
HUZURABAD,2840.0
MAUGANJ,2829.0
KUREEKKAD,2827.0
BHADRA,2825.0
Kahalgaon,2823.1
BAWAL,2821.0
ISNAPUR,2821.0
PATRATU,2818.0
DWARKA,2816.0
CHIRAMANANGAD,2814.0
DARWHA,2808.48
VALLAM THANJAVUR DISTRICT,2807.0
Belghoria,2806.0
Gulbarga,2805.0
Potheri,2800.0
SOHAGPUR,2789.0
MALWAN,2788.0
BENGALURU NORTH,2787.0
BESTAWARIPETA,2786.4300000000003
Greater noida west,2785.0
SAKLESHPUR,2784.62
Bidhan Nagar,2783.48
CHITTARANJAN,2781.43
Ayoor,2780.0
Almora,2771.29
KHAMGAON,2771.1
Mira road,2771.0
BEHROR,2769.0
WARORA,2768.0
RAJAM,2767.0
BALACHAUR,2766.0
JOGIPET,2765.0
YEOLA,2760.0
Devinagar,2760.0
Panipat,2758.0
Valsad,2755.52
THALAKKULATHUR,2753.0
BIRPUR,2752.29
Ambala,2752.0
JAORA,2751.0
"Sopanbaug, Pune",2751.0
DARIBA,2748.0
Mahasamund,2748.0
SIRCILLA,2747.0
Noida Extension,2747.0
NADIM TIRUVURU,2745.95
KAMAND,2743.0
new Delhi,2741.0
vadodara,2741.0
Kelambakkam,2740.0
POOTHAKKULAM,2737.0
Cuddalore,2736.0
JSW STEEL PLANT TOWNSHIP,2734.0
BADNAWAR,2733.0
MANGALDOI,2732.57
Thodupuzha,2730.0
MATLA,2727.0
MUGHALSARAI,2718.0
PONNERI,2715.24
Tiruchirappalli,2714.0
"R.C. Technical College Road, Ghatlodia, AHMEDABAD",2714.0
Karukachal,2712.48
DOD BALLAPUR,2706.9
GONIKOPPAL,2705.0
RASIPURAM,2705.0
TALCHER,2705.0
KUMARGHAT,2704.24
PETHAPUR,2702.0
KOTTARAM,2696.0
Sukhchar,2695.0
KARANJIA,2694.0
MORSHI,2694.0
MULAMTHURUTHY,2692.0
ROHA,2691.33
PETLAD,2691.0
JETPUR NAVAGADH,2690.86
RADHAPURAM,2689.0
Mandya,2686.0
PEN,2683.0
WEST TRIPURA,2682.0
Colva,2680.0
Dilshad Garden,2678.0
Balaramapuram,2677.0
KALIAPANI,2676.0
"Bhojipura, Bareilly",2676.0
INDAPUR,2674.0
SATTENAPALLE,2670.0
PHALODI,2669.0
Enathu,2669.0
SRICITY,2669.0
"namli, tehsil-Ratlam, Dist. Ratlam",2668.0
DEBAGARH,2666.0
MANGATTIDAM,2665.0
MADAKASIRA,2665.0
VYLATHUR,2664.0
CHAPAR,2662.0
MEHKAR,2661.9300000000003
Akurdi,2661.0
MARIANI,2659.0
Vadakara,2658.0
CHIMBEL,2655.0
BRAHMAPURI,2654.95
NABARANGAPUR,2652.86
ZAMANIA,2650.0
Porvorim,2648.0
GOKAVARAM,2648.0
Varapuzha,2648.0
OTHUKKUNGAL,2647.0
Maddur,2647.0
JHARGRAM,2646.0
BARAMULA,2645.0
greater noida,2643.0
MACHERLA,2640.71
CHANGSARI,2640.0
BRAJARAJNAGAR,2638.0
MANDI DABWALI,2638.0
KARKALA,2638.0
VADDAKKANKULAM,2634.09
Diphu,2631.48
Udhampur,2631.0
GADWAL,2630.0
Ottapalam,2628.0
Asansol,2627.0
CHEVVOOR,2627.0
KORATLA,2621.0
Mahabubnagar,2621.0
CHITGOPPA,2620.0
MOHADI MIDC,2618.0
